MAP_ID,AGENCY_ID,INTID,DATE,COUNTY,SYNCHRO_ID,ROAD1,ROAD2,ROAD3,CITY1,IS_SIGNALIZED,ZONE,TMC_DONE,TMC_DATE,LATITUDE,LONGITUDE,AM_PEAK,PM_PEAK,NORTH_LEG_IN_TOTAL,NORTH_LEG_OUT_TOTAL,NORTH_LEG_IN_AM_PEAK,NORTH_LEG_OUT_AM_PEAK,NORTH_LEG_IN_PM_PEAK,NORTH_LEG_OUT_PM_PEAK,SOUTH_LEG_IN_TOTAL,SOUTH_LEG_OUT_TOTAL,SOUTH_LEG_IN_AM_PEAK,SOUTH_LEG_OUT_AM_PEAK,SOUTH_LEG_IN_PM_PEAK,SOUTH_LEG_OUT_PM_PEAK,EAST_LEG_IN_TOTAL,EAST_LEG_OUT_TOTAL,EAST_LEG_IN_AM_PEAK,EAST_LEG_OUT_AM_PEAK,EAST_LEG_IN_PM_PEAK,EAST_LEG_OUT_PM_PEAK,WEST_LEG_IN_TOTAL,WEST_LEG_OUT_TOTAL,WEST_LEG_IN_AM_PEAK,WEST_LEG_OUT_AM_PEAK,WEST_LEG_IN_PM_PEAK,WEST_LEG_OUT_PM_PEAK
193_290,193,290,6/8/2017 12:00:00 AM,-,,13TH STREET NW,MADISON STREET NW,,-,False,,Yes,6/8/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,2096,2161,1262,631,834,1530,1892,2089,512,1255,1380,834,870,412,436,148,434,264,342,538,112,288,230,250
193_291,193,291,6/8/2017 12:00:00 AM,-,,DECATUR STREET NW,16TH STREET NW,,-,False,,Yes,6/8/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,6693,5969,4224,2042,2469,3927,5889,6658,2011,4201,3878,2457,201,202,117,79,84,123,175,129,46,76,129,53
193_292,193,292,6/8/2017 12:00:00 AM,-,,DECATUR STREET NW,15TH STREET NW,,-,False,,Yes,6/8/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,102,91,54,38,48,53,82,116,40,61,42,55,125,132,59,54,66,78,135,105,53,53,82,52
193_293,193,293,6/8/2017 12:00:00 AM,-,,DECATUR STREET NW,PINEY BRANCH ROAD NW,,-,False,,Yes,6/8/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,142,85,83,23,59,62,42,70,18,36,24,34,105,131,52,48,53,83,191,194,64,110,127,84
193_294,193,294,5/24/2017 12:00:00 AM,-,,PINEY BRANCH ROAD NW,ASPEN STREET NW,,-,False,,Yes,5/24/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,3236,2687,2020,660,1216,2027,3044,3518,747,2204,2297,1314,930,856,658,167,272,689,564,713,120,514,444,199
193_295,193,295,5/24/2017 12:00:00 AM,-,,ASPEN STREET NW,6TH STREET NW,,-,False,,Yes,5/24/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,176,174,91,64,85,110,171,157,62,89,109,68,969,907,664,194,305,713,856,934,183,653,673,281
193_296,193,296,5/24/2017 12:00:00 AM,-,,ASPEN STREET NW,5TH STREET NW,,-,False,,Yes,5/24/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,642,556,352,188,290,368,706,728,228,396,478,332,1049,1068,690,223,359,845,892,937,177,640,715,297
193_297,193,297,5/24/2017 12:00:00 AM,-,,ASPEN STREET NW,4TH STREET NW,,-,False,,Yes,5/24/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,252,286,114,98,138,188,264,242,98,118,166,124,1126,1143,735,259,391,884,1101,1072,239,711,862,361
193_298,193,298,5/24/2017 12:00:00 AM,-,,ASPEN STREET NW,BLAIR ROAD NW,,-,False,,Yes,5/24/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,2330,2629,1118,1174,1212,1455,3034,2699,1240,1386,1794,1313,1557,1585,1056,369,501,1216,1120,1128,254,739,866,389
193_299,193,299,6/7/2017 12:00:00 AM,-,,WARDER STREET NW,LAMONT STREET NW,,-,False,,Yes,6/7/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,0,2615,0,971,0,1644,2658,3,987,0,1671,3,154,227,72,104,82,123,196,163,91,75,105,88
193_300,193,300,6/7/2017 12:00:00 AM,-,,WARDER STREET NW,KENYON STREET NW,,-,False,,Yes,6/7/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,0,2735,0,1030,0,1705,2019,1,638,0,1381,1,5003,1,2620,0,2383,1,1,4286,0,2228,1,2058
193_301,193,301,6/7/2017 12:00:00 AM,-,,WARDER STREET NW,NEWTON PLACE NW,,-,False,,Yes,6/7/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,0,1954,0,723,0,1231,1890,4,699,3,1191,1,0,183,0,70,0,113,252,1,98,1,154,0
193_302,193,302,6/7/2017 12:00:00 AM,-,,WARDER STREET NW,OTIS PLACE NW,,-,False,,Yes,6/7/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,0,2067,0,656,0,1411,2183,0,713,0,1470,0,171,0,84,0,87,0,0,287,0,141,0,146
193_303,193,303,6/7/2017 12:00:00 AM,-,,WARDER STREET NW,PARK ROAD NW,,-,False,,Yes,6/7/2017 12:00:00 AM,,,06:30-09:30,15:30-18:30,0,1787,0,613,0,1174,2188,5,837,3,1351,2,144,559,64,345,80,214,618,599,365,305,253,294
