id,name,id,date,time,SB-Right,SB-Thru,SB-Left,WB-Right,WB-Thru,WB-Left,NB-Right,NB-Thru,NB-Left,EB-Right,EB-Thru,EB-Left,SB-Ped,WB-Ped,NB-Ped,EB-Ped,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,10:45-11:00,,118,14,,,,26,115,,12,65,18,,9,12,13,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,11:00-11:15,,121,13,,,,9,123,,32,82,15,,26,10,32,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,11:15-11:30,,114,11,,,,19,109,,15,89,14,,12,8,35,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,11:30-11:45,,104,17,,,,14,107,,18,69,11,,24,6,18,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,11:45-12:00,,91,18,,,,15,132,,13,60,9,,16,12,7,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,12:00-12:15,,86,16,,,,13,117,,11,47,6,,21,5,13,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,12:15-12:30,,79,11,,,,10,109,,9,56,3,,40,4,7,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,12:30-12:45,,71,9,,,,8,70,,8,62,4,,55,2,4,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,12:45-13:00,,73,7,,,,17,100,,5,73,3,,49,3,6,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,14:00-14:15,,74,15,,,,21,189,,6,96,5,,36,4,8,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,14:15-14:30,,79,18,,,,12,145,,7,93,10,,56,6,9,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,14:30-14:45,,84,21,,,,14,126,,9,80,17,,26,5,14,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,14:45-15:00,,87,21,,,,21,141,,11,92,13,,43,6,21,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,15:00-15:15,,88,27,,,,30,128,,16,98,10,,31,8,17,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,15:15-15:30,,90,30,,,,28,143,,31,121,12,,48,14,28,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,15:30-15:45,,95,33,,,,29,136,,29,116,14,,40,18,36,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,15:45-16:00,,91,27,,,,20,162,,36,109,16,,38,21,25,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,16:00-16:15,,103,18,,,,23,170,,19,104,17,,50,13,17,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,16:15-16:30,,97,26,,,,17,156,,26,105,16,,22,16,11,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,16:30-16:45,,116,23,,,,18,138,,31,108,18,,44,7,26,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,16:45-17:00,,124,21,,,,21,179,,27,103,15,,53,17,17,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,17:00-17:15,,135,28,,,,17,194,,35,110,21,,44,21,19,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,17:15-17:30,,139,31,,,,19,170,,28,100,26,,40,13,21,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,17:30-17:45,,144,34,,,,18,140,,27,103,27,,46,10,30,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/14TH%20STREET%20%26%20IRVING%20STREET%20NW.txt,14TH STREET NW & IRVING STREET,x,11/6/2003,17:45-18:00,,126,27,,,,13,175,,19,112,19,,5,8,13,,,,,,38.928805,-77.032612
file,name,id,date,time,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,D,A,C,B,,,,,,38.928805,-77.032612
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,07:00-07:15,,11,3,,,,5,,3,9,21,,,,13,4,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,07:15-07:30,,9,2,,,,5,,1,10,23,,,1,13,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,09:15-09:30,,14,7,,,,3,,2,2,12,,,1,12,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,09:30-09:45,,7,6,,,,,,1,6,16,,,1,10,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,09:45-10:00,,6,,,,,1,,1,4,12,,,2,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,10:00-10:15,,13,,,,,3,,1,5,13,,,2,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,10:15-10:30,,11,3,,,,2,,2,3,11,,,1,1,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,10:30-10:45,,17,3,,,,3,,2,8,13,,,1,3,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,10:45-11:00,,18,3,,,,4,,3,8,18,,,7,12,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,11:00-11:15,,17,2,,,,5,,1,4,14,,,2,6,7,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,11:15-11:30,,22,4,,,,3,,,2,27,,,4,8,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,11:30-11:45,,15,4,,,,5,,,12,14,,,4,9,8,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,11:45-12:00,,17,10,,,,4,,2,8,12,,,6,15,6,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,12:00-12:15,,24,2,,,,9,,2,7,21,,,,4,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,12:15-12:30,,20,,,,,6,,,5,14,,,3,14,9,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,12:30-12:45,,22,2,,,,6,,1,7,16,,,3,17,13,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,12:45-13:00,,23,5,,,,3,,,4,28,,,4,12,10,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,14:00-14:15,,19,4,,,,6,,3,2,9,,,3,7,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,14:15-14:30,,19,3,,,,5,,2,4,11,,,2,8,8,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,14:30-14:45,,23,2,,,,7,,1,8,14,,,3,4,5,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,14:45-15:00,,15,7,,,,3,,1,9,12,,,6,3,4,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,15:00-15:15,,21,7,,,,2,,3,9,13,,,,5,4,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,15:15-15:30,,13,5,,,,3,,5,7,11,,,3,3,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,15:30-15:45,,26,8,,,,3,,5,10,13,,,,5,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,15:45-16:00,,20,3,,,,5,,7,9,15,,,2,3,8,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,16:00-16:15,,38,4,,,,14,,,11,24,,,1,2,5,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,16:15-16:30,,27,8,,,,19,,4,4,19,,,4,5,4,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,16:30-16:45,,31,11,,,,25,,7,7,24,,,3,2,7,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,16:45-17:00,,28,14,,,,18,,5,6,17,,,3,5,4,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,17:00-17:15,,32,13,,,,14,,6,4,12,,,3,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,17:15-17:30,,27,11,,,,12,,6,7,14,,,4,2,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,17:30-17:45,,26,12,,,,10,,5,8,13,,,4,,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/8TH%20STREET%20%26%20G%20STREET%20NW.txt,8TH STREET NW & G STREET ,x,11/5/2003,17:45-18:00,,33,9,,,,9,,5,9,10,,,3,2,7,,,,,
file,name,id,date,time,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,D,A,C,B,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,07:00-07:15,2,317,,,,,13,,,,191,5,,,9,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,07:15-07:30,2,293,,,,,10,,,,181,4,,8,9,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,07:30-07:45,,340,,,,,12,,,,200,5,,,7,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,07:45-08:00,,316,,,,,15,,,,179,7,,,6,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,08:00-08:15,,325,,,,,12,,,,215,9,,5,14,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,08:15-08:30,,317,,,,,9,,,,169,6,,,8,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,08:30-08:45,3,329,,,,,10,,,,136,5,,,9,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,08:45-09:00,,339,,,,,3,,,,132,8,,4,11,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,09:00-09:15,,350,,,,,2,,,,134,4,,5,4,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,09:15-09:30,,347,,,,,5,,,,146,6,,,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,09:30-09:45,,243,,,,,8,,,,134,5,,,3,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,09:45-10:00,,283,,,,,,,1,,113,9,,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,10:00-10:15,,214,,,,,,,,,135,7,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,10:15-10:30,1,180,,,,,1,,,,146,4,,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,10:30-10:45,1,145,,,,,1,,,,156,4,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,10:45-11:00,,201,,,,,,,,,129,4,,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,11:00-11:15,1,170,,,,,,,,,109,6,,2,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,11:15-11:30,,180,,,,,,,,,134,2,,,,1,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,11:30-11:45,,164,,,,,,,,,136,3,,3,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,11:45-12:00,6,172,,,,,,,,,144,2,,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,12:00-12:15,2,163,,,,,,,,,134,10,,2,,3,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,12:15-12:30,1,149,,,,,2,,,,155,6,,3,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,12:30-12:45,3,139,,,,,3,,,,138,6,,,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,12:45-13:00,,127,,,,,,,,,174,4,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,14:00-14:15,,140,,,,,,,,,176,12,,2,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,14:15-14:30,,138,,,,,,,,,199,3,,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,14:30-14:45,,139,,,,,2,,,,203,6,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,14:45-15:00,,161,,,,,4,,,,181,4,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,15:00-15:15,,198,,,,,5,,,,233,5,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,15:15-15:30,,214,,,,,3,,,,259,3,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,15:30-15:45,,231,,,,,5,,,,272,5,,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,15:45-16:00,,251,,,,,,,,,285,7,,,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,16:00-16:15,,249,,,,,3,,,,289,5,,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,16:15-16:30,2,249,,,,,,,,,256,3,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,16:30-16:45,,241,,,,,,,,,274,4,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,16:45-17:00,,219,,,,,,,,,151,7,,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,17:00-17:15,,241,,,,,6,,,,219,2,,,2,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,17:15-17:30,,239,,,,,4,,1,,209,3,,,1,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,17:30-17:45,,235,,,,,3,,,,259,4,,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE%20%26%2045TH%20STREET%20NW.txt,NEBRASKA AVENUE NW & 45TH STREET ,x,11/4/2003,17:45-18:00,3,220,,,,,,,,,312,6,,,,,,,,,
file,name,id,date,time,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,Right,Thru,Left,D,A,C,B,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE %20NEWARK%20STREET%20%26%20ROCKWOOD%20PARKWAY%20NW.txt,NEBRASKA AVENUE NW NEWARK STREET & ROCKWOOD PKWY,x,11/4/2003,07:00-07:15,13,195,3,3,17,15,31,312,1,2,102,3,,1,,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE %20NEWARK%20STREET%20%26%20ROCKWOOD%20PARKWAY%20NW.txt,NEBRASKA AVENUE NW NEWARK STREET & ROCKWOOD PKWY,x,11/4/2003,07:15-07:30,12,183,5,5,21,17,26,289,1,1,96,2,2,1,1,2,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE %20NEWARK%20STREET%20%26%20ROCKWOOD%20PARKWAY%20NW.txt,NEBRASKA AVENUE NW NEWARK STREET & ROCKWOOD PKWY,x,11/4/2003,09:15-09:30,15,130,3,,22,10,21,349,10,1,56,3,1,,,,,,,,
hutrc/www.hutrc.howard.edu/sites/default/files/tree/2003/November/NEBRASKA%20AVENUE %20NEWARK%20STREET%20%26%20ROCKWOOD%20PARKWAY%20NW.txt,NEBRASKA AVENUE NW NEWARK STREET & ROCKWOOD PKWY,x,11/4/2003,09:30-09:45,7,122,1,,17,4,14,258,7,1,39,2,,,,,,,,,
