INTID,COUNTY,CITY1,ROAD1,ROAD2,ROAD3,ROAD4,LATEST_DATE,LATITUDE,LONGITUDE
33,Hennepin,Lowry Hill East,Hennepin Av S,28th St W, ,,9/21/2011,44.9519550459128,-93.2982525453195
34,Hennepin,East Harriet,Lyndale Av S,40th St W, ,,10/12/2011,44.9304343610578,-93.2882636705182
36,Hennepin,Elliot Park,Portland Av S,15th St E, ,,4/7/2011,44.9680473140609,-93.2676567065667
37,Hennepin,Near - North,Emerson Av N,16th Av N, ,,3/26/2013,44.9952472460912,-93.2941131455243
38,Hennepin,Harrison,Glenwood Av N,Cedar Lake Road N,Driveway,,3/27/2013,44.9808073135419,-93.2991643770958
39,Hennepin,Lynnhurst,50th St W,Minnehaha Pkwy W, ,,10/13/2011,44.9123332935512,-93.297984199751
40,Hennepin,Bryn - Mawr,Penn Av S,Cedar Lake Road S, ,,9/16/2010,44.9737265267704,-93.3083541085063
41,Hennepin,Midtown Phillips,28th St E,10th Av S, ,,2/22/2012,44.9519538245358,-93.2600843529013
42,Hennepin,Jordan,Lowry Av N,James Av N, ,,5/8/2007,45.0131845911065,-93.3006360063871
43,Hennepin,Fulton,50th St W,Chowen Av S, ,,10/13/2011,44.9124975429675,-93.3252178391638
44,Hennepin,Seward,Franklin Av E,26th Av S,25th Av S,,1/10/2012,44.9627484350693,-93.2345811904183
45,Hennepin,ECCO,Lake St W,Irving Av S, ,,9/15/2011,44.948366599515,-93.3021137647603
47,Hennepin,Loring Park,LaSalle Av S,15th St W, ,,9/7/2011,44.9677069056263,-93.2793138007238
48,Hennepin,Loring Park,LaSalle Av S,Oak Grove St W, ,,9/22/2011,44.9663746300153,-93.2793073329213
49,Hennepin,Whittier,Franklin Av W,LaSalle Av S/Blaisdell Av S, ,,9/22/2011,44.962696941917,-93.2794618518055
50,Hennepin,Tangletown,Lyndale Av S,50th St W, ,,9/8/2011,44.9123087541744,-93.2882546018469
51,Hennepin,Lowry Hill East,Lyndale Av S,24th St W, ,,9/7/2011,44.9591275915131,-93.2880257268489
52,Hennepin,Standish,Cedar Av S,36th St E, ,,10/4/2011,44.9377408929496,-93.2473666053222
53,Hennepin,Lowry Hill,Lyndale Av N SB,Dunwoody Blvd W,Ontario Av W,,5/3/2011,44.9719556092827,-93.2880185709888
54,Hennepin,Hiawatha,46th St E,Minnehaha Av S, ,,8/25/2012,44.9196946530133,-93.2148166112946
55,Hennepin,Sumner - Glenwood,Lyndale Av N SB,7th St N, ,,3/26/2013,44.9882890673338,-93.2894088130171
56,Hennepin,Whittier,Lyndale Av S,26th St W, ,,9/22/2011,44.955539843114,-93.2880427374073
57,Hennepin,Hawthorne,Lyndale Av N,Lowry Av N, ,,3/20/2013,45.0131091025233,-93.2880118484007
58,Hennepin,McKinley,Lyndale Av N,Dowling Av N, ,,3/20/2013,45.0239292554879,-93.2880625266531
59,Hennepin,Columbia Park,Central Av NE,27th Av NE, ,,3/28/2013,45.0167860331482,-93.2473514119821
60,Hennepin,Lyndale,Lake St E,1st Av S, ,,9/27/2011,44.9483545299751,-93.2766806632344
61,Hennepin,Hale,54th St E,12th Av S, ,,10/6/2011,44.9052704413797,-93.2575711347225
62,Hennepin,West Calhoun,Excelsior Blvd W,Market Plaza S,Calhoun Blvd W,,9/15/2011,44.9474790374858,-93.3205915745503
63,Hennepin,Howe,Hiawatha Av S,35th St E,LRT,,1/29/2010,44.9395436070128,-93.2323586222679
64,Hennepin,Powderhorn Park,Bloomington Av S,31st St E, ,,10/5/2011,44.9465606370548,-93.2525006765146
65,Hennepin,Tangletown,Nicollet Av S,50th St E/50th St W, ,,10/18/2011,44.9128382514386,-93.2780165853505
66,Hennepin,Marshall Terrace,University Av NE,32nd Av NE, ,,4/27/2013,45.0261729593641,-93.2636526323433
67,Hennepin,Downtown West,Washington Av S,4th Av S, ,,5/19/2011,44.9794397670346,-93.2626802968543
68,Hennepin,Windom,Lyndale Av S,56th St W,Hwy 121,,9/8/2011,44.9014566340626,-93.2883020954702
69,Hennepin,Windom,58th St W,Hwy 121,Hwy 121,,10/18/2011,44.8978387846393,-93.2895433714337
70,Hennepin,Phillips West,Park Av S,26th St E, ,,9/28/2011,44.9555295376228,-93.2651222182296
71,Hennepin,Diamond Lake,Cedar Av S,Nokomis Pkwy E/Nokomis Pkwy W,Edgewater Blvd E,,9/14/2011,44.9014263157309,-93.2475009715109
72,Hennepin,Field,Park Av S,46th St E, ,,10/6/2011,44.9197194205236,-93.2651479292553
73,Hennepin,Regina,Park Av S,42nd St E, ,,10/6/2011,44.9269483898405,-93.2650081341465
74,Hennepin,Fulton,50th St W,Penn Av S, ,,9/7/2011,44.9123633433316,-93.3087004023317
75,Hennepin,Jordan,Lowry Av N,Penn Av N, ,,3/21/2013,45.0132408577855,-93.3082325469081
77,Hennepin,Cedar Riverside,Cedar Av S,6th St S, ,,3/31/2011,44.9677627738086,-93.2472717113131
78,Hennepin,Field,Portland Av S,46th St E, ,,10/6/2011,44.9197224926671,-93.2676899042852
79,Hennepin,Regina,Portland Av S,42nd St E, ,,9/13/2011,44.9269469501669,-93.2675559509327
80,Hennepin,Bryant,Portland Av S,38th St E, ,,3/27/2013,44.9341576264013,-93.2675367571703
81,Hennepin,Columbia Park,River Road E,37th Av NE, ,,9/25/2012,45.0353453849881,-93.275903981291
82,Hennepin,Bottineau,University Av NE,20th Av NE, ,,3/27/2013,45.0085557356023,-93.2630980236774
83,Hennepin,Powderhorn Park,Cedar Av S,32nd St E, ,,10/4/2011,44.9447533488508,-93.2474208825049
84,Hennepin,Downtown East,Washington Av S,I-35W SB Ramp, ,,3/31/2011,44.9742653775572,-93.2504035465951
85,Hennepin,Downtown East,Washington Av S,Park Av S, ,,5/19/2011,44.9777487753453,-93.2585498025169
87,Hennepin,Cedar Riverside,Washington Av S,I-35W NB Ramp, ,,7/26/2011,44.9735701333588,-93.2488442745034
88,Hennepin,Webber - Camden,42nd Av N,Dupont Av N, ,,3/24/2000,45.0315317265986,-93.2932190681342
89,Hennepin,Bryant,38th St E,3rd Av S, ,,10/12/2011,44.93413637311,-93.2727165066608
90,Hennepin,Whittier,26th St E,3rd Av S, ,,9/22/2011,44.9555295196832,-93.2727754227311
91,Hennepin,Central,Park Av S,38th St E, ,,10/6/2011,44.9341544991974,-93.265017115314
92,Hennepin,Steven's Square - Loring Heights,Nicollet Av S,19th St E,Groveland Av W,,9/22/2011,44.9639657409452,-93.2778140711134
93,Hennepin,Steven's Square - Loring Heights,Nicollet Av S,18th St E, ,,9/22/2011,44.9652260261174,-93.277811039972
94,Hennepin,Hawthorne,Lyndale Av N,24th Av N, ,,8/5/2013,45.0036976713151,-93.2879841164489
95,Hennepin,Near - North,Broadway Av W,Emerson Av N, ,,3/19/2013,44.9991406467553,-93.2940882589253
96,Hennepin,Tangletown,Lyndale Av S,Minnehaha Pkwy W, ,,10/13/2011,44.9086943595107,-93.288280081736
97,Hennepin,Bottineau,Lowry Av NE,2nd St NE, ,,3/27/2013,45.0131620837748,-93.2661752158375
98,Hennepin,Whittier,Nicollet Av S,Franklin Av W/Franklin Av E, ,,9/7/2011,44.9626964790071,-93.277806756922
99,Hennepin,Downtown West,10th St N,Currie Av W, ,,4/21/2011,44.9779117477381,-93.2788607734717
100,Hennepin,Howe,Hiawatha Av S,38th St E,LRT,,2/5/2010,44.9341295967329,-93.2286398104709
101,Hennepin,East Phillips,24th St E,18th Av S, ,,9/29/2011,44.9591315094714,-93.248590088222
102,Hennepin,St. Anthony West,University Av NE,3rd Av NE, ,,4/16/2013,44.9909746225878,-93.2584105945753
103,Hennepin,Downtown East,Chicago Av S,3rd St S, ,,3/29/2011,44.9761480853171,-93.2580909547637
104,Hennepin,Como,Hennepin Av E,15th Av SE,Cleveland St NE,,4/16/2013,44.9914600569821,-93.2307923171324
105,Hennepin,Marcy Holmes,4th St SE,10th Av SE, ,,4/30/2013,44.982711992519,-93.2413247380218
106,Hennepin,Seward,Franklin Av E,27th Av S, ,,1/10/2012,44.9627516674768,-93.2330021866962
107,Hennepin,Lowry Hill,Dunwoody Blvd W,Colfax Av S,Driveway,,5/12/2011,44.9720517134284,-93.2913825280369
108,Hennepin,Seward,Riverside Av S,9th St S,27th Av S,,1/10/2012,44.964003696754,-93.2326331968875
109,Hennepin,Longfellow,Lake St E,31st Av S, ,,9/13/2011,44.9483739038786,-93.2270803325706
110,Hennepin,Downtown East,Washington Av S,Chicago Av S, ,,5/19/2011,44.9771681656626,-93.2572349177732
111,Hennepin,Downtown East,Washington Av S,10th Av S, ,,3/31/2011,44.9760141133767,-93.2545043867693
112,Hennepin,Seward,25th St E,31st Av S, ,,1/10/2012,44.9573986283677,-93.2269705173141
113,Hennepin,Whittier,26th St W,Grand Av S,Driveway,,9/22/2011,44.955537595851,-93.2842289266129
114,Hennepin,Seward,Franklin Av E,31st Av S, ,,1/12/2012,44.962778603659,-93.2268855252851
115,Hennepin,Longfellow,Lake St E,36th Av S, ,,10/19/2011,44.9483464963916,-93.2203925743438
116,Hennepin,Cooper,Lake St E,39th Av S, ,,10/19/2011,44.9483448477197,-93.2165488133832
117,Hennepin,St. Anthony West,University Av NE,Broadway St NE, ,,4/10/2013,44.9987119424576,-93.2632305046514
118,Hennepin,Longfellow,Minnehaha Av S,26th Av S,28th St E,,10/26/2011,44.9519637326393,-93.2347337532192
119,Hennepin,University of Minnesota,Washington Av SE,Church St SE, ,,2/24/2006,44.9736486158729,-93.233848820926
120,Hennepin,North Loop,Washington Av N,Plymouth Av N, ,,9/3/2013,44.9919799913089,-93.28143092834
121,Hennepin,Fulton,50th St W,Xerxes Av S,Washburn Av S,,9/7/2011,44.9124479745494,-93.3188531652872
122,Hennepin,Fulton,50th St W,Zenith Av S, ,,10/13/2011,44.9124678750288,-93.3213881864327
123,Hennepin,Midtown Phillips,26th St E,10th Av S, ,,9/29/2011,44.9555296436034,-93.2600597793349
124,Hennepin,Corcoran,Hiawatha Av S,Lake St E,Northbound/Southbound Ramps,,9/13/2011,44.9483688891175,-93.2382321495785
125,Hennepin,Central,Chicago Av S,34th St E, ,,10/5/2011,44.941366245646,-93.2625818392594
126,Hennepin,Longfellow,Hiawatha Av S,28th St E, ,,10/4/2011,44.9519580247655,-93.2409788027969
127,Hennepin,Longfellow,Lake St E,Snelling Av S,Driveway,,10/18/2011,44.9483468667511,-93.2359763609229
129,Hennepin,Marcy Holmes,Central Av NE,Spring St NE,3rd Av NE,,7/26/2013,44.9951095211014,-93.248275615486
130,Hennepin,Willard - Hay,Broadway Av W,Knox Av N, ,,3/19/2013,44.9994984117517,-93.3018740440772
131,Hennepin,East Harriet,36th St W,Emerson Av S, ,,9/20/2011,44.9376738958405,-93.2945739951999
132,Hennepin,Prospect Park - East River Road,Fulton St SE,Erie St SE, ,,4/25/2013,44.9702362630222,-93.2242847503457
133,Hennepin,Bryn - Mawr,Penn Av S,I-394 WB Ramp, ,,3/21/2013,44.9705446168287,-93.3087309424636
134,Hennepin,Bryn - Mawr,Penn Av S,I-394 EB Ramp, ,,3/21/2013,44.9694908726565,-93.308962022246
135,Hennepin,Central,Chicago Av S,31st St E, ,,10/5/2011,44.9466187351948,-93.262662827393
136,Hennepin,Prospect Park - East River Road,Franklin Av SE,River Pkwy E,27th Av SE,,9/27/2007,44.9648009206381,-93.2210257783207
137,Hennepin,Marcy Holmes,4th St SE,13th Av SE, ,,4/30/2013,44.9810480537301,-93.2371644297634
139,Hennepin,Jordan,Lowry Av N,Fremont Av N, ,,3/20/2013,45.0131528170353,-93.2955654706915
140,Hennepin,Victory,Osseo Road N,44th Av N,Penn Av N,,5/3/2013,45.0354909637641,-93.3091659843922
141,Hennepin,Jordan,Broadway Av W,Logan Av N,Oliver Av N,,3/19/2013,45.0022289678837,-93.3058320926536
142,Hennepin,Victory,44th Av N,Penn Av N,,,5/1/2013,45.0354521073745,-93.3085638284683
143,Hennepin,Bancroft,Bloomington Av S,38th St E, ,,9/13/2011,44.9341245720467,-93.252397857161
144,Hennepin,Bryant,38th St E,4th Av S, ,,10/12/2011,44.9341560334666,-93.2701256842978
145,Hennepin,Central,Park Av S,31st St E, ,,10/6/2011,44.9466759203598,-93.2651852437574
146,Hennepin,Webber - Camden,Lyndale Av N,42nd Av N,Camden Bridge,,3/20/2013,45.0314954209386,-93.2880298632387
147,Hennepin,Central,Portland Av S,31st St E, ,,10/6/2011,44.9466654542014,-93.2677418141671
148,Hennepin,Near - North,Broadway Av W,Girard Av N, ,,3/19/2013,44.9991648128939,-93.2971746106988
149,Hennepin,Como,Hennepin Av E,Stinson Blvd NE,18th Av NE,,4/16/2013,44.9914003105825,-93.2271112462797
150,Hennepin,Powderhorn Park,Chicago Av S,33rd St E, ,,4/17/2013,44.9431801033796,-93.2626031793755
151,Hennepin,Nicollet Island - East Bank,Hennepin Av E,2nd St SE/2nd St NE, ,,11/19/2013,44.9875027801855,-93.2578340845187
152,Hennepin,Minneapolis,University Av SE,6th Av SE, ,,4/17/2013,44.9839458246821,-93.2476471682946
153,Hennepin,Marcy Holmes,University Av SE,10th Av SE, ,,4/30/2013,44.9817243016204,-93.2421290055489
154,Hennepin,University of Minnesota,University Av SE,14th Av SE,Pleasant St SE,,4/30/2013,44.9795223136508,-93.2365605936023
155,Hennepin,University of Minnesota,University Av SE,17th Av SE,Church St SE,,4/30/2013,44.977867177264,-93.2324153715795
156,Hennepin,Prospect Park - East River Road,University Av SE,27th Av SE, ,,4/30/2013,44.9723312125693,-93.2186154368496
157,Hennepin,Prospect Park - East River Road,University Av SE,Malcolm Av SE, ,,4/25/2013,44.9700017398605,-93.2127700297319
158,Hennepin,Prospect Park - East River Road,University Av SE,Bedford St SE,Prospect Terrace SE,,4/25/2013,44.9685130003757,-93.20902171589
159,Hennepin,Bancroft,Chicago Av S,39th St E, ,,2/14/2012,44.9323509619651,-93.2624746189206
160,Hennepin,Jordan,Emerson Av N,26th Av N, ,,3/20/2013,45.0059593754475,-93.2941762845305
161,Hennepin,Whittier,Franklin Av E,4th Av S, ,,9/22/2011,44.9626922550563,-93.2701874473416
162,Hennepin,Bancroft,Chicago Av S,38th St E, ,,9/13/2011,44.9341558110328,-93.2625002660702
163,Hennepin,Central,31st St E,4th Av S, ,,10/11/2011,44.9466594225675,-93.270302365582
164,Hennepin,Jordan,Fremont Av N,26th Av N, ,,3/20/2013,45.005955777388,-93.2955696985912
165,Hennepin,East Phillips,Cedar Av S,24th St E,Ogema Place E,,9/29/2011,44.9591275418657,-93.2472776939465
166,Hennepin,Central,31st St E,3rd Av S, ,,9/27/2011,44.9466578988286,-93.2728360010643
169,Hennepin,Elliot Park,Chicago Av S,14th St E,10th St S,,5/3/2011,44.9688854650633,-93.2625334012837
170,Hennepin,Whittier,26th St E,1st Av S, ,,9/22/2011,44.9555382973595,-93.2765902910147
171,Hennepin,Whittier,Nicollet Av S,26th St W/26th St E, ,,9/7/2011,44.9555397084239,-93.2778835553065
172,Hennepin,Whittier,26th St W,Blaisdell Av S, ,,9/22/2011,44.9555354168665,-93.279641428725
174,Hennepin,Lowry Hill East,26th St W,Dupont Av S, ,,9/21/2011,44.9555492263171,-93.2931417043319
175,Hennepin,Midtown Phillips,Chicago Av S,26th St E, ,,9/29/2011,44.9555335797096,-93.2626229313905
176,Hennepin,Hawthorne,Washington Av N,26th Av N, ,,3/20/2013,45.0059163319674,-93.2818372640368
177,Hennepin,Como,Hennepin Av E,Hoover St NE/25th Av SE, ,,4/16/2013,44.9915431515895,-93.2176910223377
178,Hennepin,CARAG,Hennepin Av S,31st St W, ,,9/20/2011,44.9465852195076,-93.2983019809933
179,Hennepin,Ericsson,46th St E,36th Av S,Driveway,,10/18/2011,44.9197110139732,-93.2204034424521
180,Hennepin,Marshall Terrace,Marshall St NE,27th Av NE,Driveway,,3/27/2013,45.0167755287715,-93.2722510030581
181,Hennepin,Mid - City Industrial,Broadway St NE,Industrial Blvd NE, ,,4/16/2013,45.0005971505392,-93.211541082775
182,Hennepin,Seward,Minnehaha Av S,26th St E, ,,10/26/2011,44.9555501878493,-93.2394753206716
183,Hennepin,Prospect Park - East River Road,Washington Av SE,Ontario St SE, ,,4/25/2013,44.9736002991284,-93.2256560324564
184,Hennepin,Central,Lake St E,Portland Av S, ,,9/13/2011,44.9483532856649,-93.2677611487842
185,Hennepin,Central,Lake St E,Park Av S, ,,6/6/2012,44.9483592385085,-93.2652100285922
186,Hennepin,Phillips West,Park Av S,28th St E, ,,9/28/2011,44.9519421473353,-93.2651619557127
187,Hennepin,Ventura Village,Portland Av S,Franklin Av E, ,,1/18/2012,44.9626892385161,-93.2676764031607
188,Hennepin,Webber - Camden,Penn Av N,42nd Av N, ,,3/21/2013,45.0313204784834,-93.3084838956922
189,Hennepin,McKinley,Lyndale Av N,36th Av N, ,,3/20/2013,45.0203015620119,-93.2880352128472
190,Hennepin,ECCO,Lake St W,Holmes Av S, ,,5/5/1995,44.9483643348391,-93.2995562669187
191,Hennepin,CARAG,Lake St W,Hennepin Av S, ,,9/7/2011,44.9483631689795,-93.2982818755308
192,Hennepin,CARAG,Lake St W,Girard Av S, ,,9/20/2011,44.9483664901099,-93.2970075071019
193,Hennepin,Longfellow,31st Av S,32nd St E, ,,2/6/1997,44.9449711296473,-93.2270871188505
194,Hennepin,CARAG,Lake St W,Emerson Av S, ,,9/20/2011,44.9483550638165,-93.2944673928949
195,Hennepin,Phillips West,28th St E,4th Av S,Wells Fargo Way,,2/14/2012,44.9519392083427,-93.2702562335359
196,Hennepin,Phillips West,Portland Av S,26th St E, ,,9/28/2011,44.9555280962398,-93.2676697123352
197,Hennepin,Phillips West,Portland Av S,28th St E, ,,9/28/2011,44.9519361936117,-93.2677144218038
198,Hennepin,Phillips West,Portland Av S,24th St E, ,,9/28/2011,44.9591514163351,-93.2676619925025
199,Hennepin,Minneapolis,Huron Blvd SE,Delaware St SE,,,4/25/2013,44.9724283683691,-93.2230523228645
200,Hennepin,Elliot Park,6th St S,11th Av S, ,,3/29/2011,44.9714990415016,-93.2564237569141
201,Hennepin,East Phillips,Cedar Av S,Hiawatha Av S Ramp, ,,6/12/2006,44.9597386792101,-93.2470133251433
202,Hennepin,Cedar Riverside,Cedar Av S,Riverside Av S,4th St S,,3/31/2011,44.9702338687109,-93.2472474554026
203,Hennepin,Seward,Franklin Av E,Cedar Av S,Minnehaha Av S,,1/10/2012,44.9626786360783,-93.245123817161
204,Hennepin,Seward,Minnehaha Av S,20th Av S,Cedar Av S,,1/10/2012,44.9634710389057,-93.2451023900484
205,Hennepin,Steven's Square - Loring Heights,3rd Av S,18th St E, ,,9/21/2011,44.9652202033742,-93.2727571505908
206,Hennepin,Seward,Franklin Av E,Minnehaha Av S, ,,1/10/2012,44.9627458419022,-93.2444035718924
207,Hennepin,Whittier,Blaisdell Av S,29th St W, ,,9/27/2011,44.9507462750321,-93.2796732376777
208,Hennepin,Central,Park Av S,34th St E, ,,10/6/2011,44.941373884623,-93.2651200372738
209,Hennepin,Ventura Village,Cedar Av S,17th Av S,Hiawatha Av S Ramp,,9/29/2011,44.9606007397933,-93.2461629597293
210,Hennepin,Ventura Village,Franklin Av E,17th Av S,Lrt Entrance,,1/10/2012,44.9625269977269,-93.2485634443668
211,Hennepin,Near - North,Broadway Av W,Lyndale Av N, ,,3/19/2013,44.9991381894762,-93.2879874472641
212,Hennepin,Columbia Park,Central Av NE,29th Av NE, ,,3/28/2013,45.0203838866138,-93.2473498473179
213,Hennepin,Prospect Park - East River Road,Oak St SE,Delaware St SE, ,,4/25/2013,44.9725491359179,-93.2271113202553
214,Hennepin,Midtown Phillips,24th St E,11th Av S, ,,9/29/2011,44.9591283210939,-93.2582084745765
215,Hennepin,Prospect Park - East River Road,Washington Av SE,Oak St SE, ,,5/7/2013,44.9736508871223,-93.2271799560814
216,Hennepin,Bancroft,Cedar Av S,38th St E, ,,10/4/2011,44.9341176298006,-93.2473419416398
217,Hennepin,East Phillips,Lake St E,Cedar Av S, ,,9/13/2011,44.9483721655687,-93.247417017524
218,Hennepin,East Harriet,Hennepin Av S,36th St W, ,,9/20/2011,44.9377044906136,-93.2983930360313
219,Hennepin,Powderhorn Park,Bloomington Av S,35th St E, ,,10/5/2011,44.9395481838647,-93.25244736222
220,Hennepin,Cedar Riverside,Cedar Av S,Mid-Block,5th St S,,3/31/2011,44.9688209686777,-93.2472613246084
221,Hennepin,Minneapolis,46th St E,34th Av S, ,,12/5/2001,44.9196790694803,-93.2229476556556
222,Hennepin,Cedar Riverside,Washington Av S,Cedar Av S,15th Av S,,3/31/2011,44.9731147229464,-93.2476973984564
223,Hennepin,University of Minnesota,Washington Av SE,Union St SE, ,,3/31/2011,44.9736512906943,-93.2318686263083
224,Hennepin,Windom,Lyndale Av S,58th St W, ,,10/18/2011,44.8978288009676,-93.2882990063717
225,Hennepin,McKinley,Washington Av N,Dowling Av N,Port of Minneapolis Drive N,,3/20/2013,45.0239113093776,-93.2826353118741
226,Hennepin,Webber - Camden,Fremont Av N,42nd Av N, ,,3/20/2013,45.031525126959,-93.2957782382418
227,Hennepin,Seward,26th Av S,25th St E, ,,10/26/2011,44.9573605845902,-93.2346590806577
228,Hennepin,West Calhoun,Excelsior Blvd W,Driveway, ,,9/15/2011,44.9467661854937,-93.321535793973
229,Hennepin,Windom Park,Central Av NE,18 1/2 Av NE, ,,3/28/2013,45.0069120397095,-93.2473643433305
230,Hennepin,Holland,Central Av NE,19th Av NE, ,,3/28/2013,45.0078977402251,-93.247368983451
231,Hennepin,Holland,Central Av NE,20th Av NE, ,,3/28/2013,45.0088879708709,-93.2473597625915
232,Hennepin,Holland,Central Av NE,22nd Av NE, ,,3/28/2013,45.009890467215,-93.2473533440872
233,Hennepin,Near - North,Lyndale Av N,Plymouth Av N, ,,3/26/2013,44.9919334041276,-93.2879887599861
234,Hennepin,Downtown East,Washington Av S,11th Av S, ,,3/31/2011,44.9754296596441,-93.2531126771971
235,Hennepin,Downtown East,Washington Av S,12th Av S, ,,4/29/2005,44.9748434440515,-93.2517644480018
236,Hennepin,Whittier,Franklin Av E,3rd Av S, ,,9/7/2011,44.9626952000465,-93.272735279568
237,Hennepin,North Loop,10th Av N,5th St N, ,,7/27/2005,44.9878460122677,-93.2840924299455
238,Hennepin,Lyndale,Lake St W,Lyndale Av S, ,,9/7/2011,44.9483623083589,-93.2880974830842
239,Hennepin,Downtown West,7th St N,3rd Av N, ,,5/3/2011,44.9807662450606,-93.2785008391093
240,Hennepin,Downtown West,10th St N,3rd Av N, ,,5/3/2011,44.9801470575381,-93.2795470046387
241,Hennepin,Downtown West,10th St N,Glenwood Av N, ,,4/14/2011,44.9789039045638,-93.2788238613469
242,Hennepin,Minnehaha,Hiawatha Av S,54th St E,Minnehaha Park Drive S,,9/14/2011,44.9053893975771,-93.1992504386924
243,Hennepin,Field,46th St E,4th Av S, ,,10/18/2011,44.9197074742835,-93.2702444657307
244,Hennepin,North Loop,Lyndale Av N SB,Glenwood Av N, ,,9/12/2013,44.9794599227994,-93.2880060961247
245,Hennepin,Loring Park,Hennepin Av S,Vineland Place W,Lyndale Av S,,5/12/2011,44.9689069684052,-93.2875249943202
246,Hennepin,Columbia Park,Central Av NE,35th Av NE, ,,8/8/2013,45.0312269160004,-93.2473223106613
248,Hennepin,Jordan,Penn Av N,26th Av N, ,,3/19/2013,45.0060259073468,-93.3082021796415
249,Hennepin,University of Minnesota,University Av SE,15th Av SE, ,,4/30/2013,44.9789777990682,-93.2351614252423
250,Hennepin,Willard - Hay,Broadway Av W,26th Av N,Sheridan Av N,,3/19/2013,45.006029,-93.311556
252,Hennepin,Lowry Hill,Lyndale Av S,Groveland Terrace W,Hennepin Av S,,4/14/2011,44.9671547704639,-93.2882810720752
253,Hennepin,Loring Park,Lyndale Av S,I-94 WB Ramp,Hennepin Av S,,5/12/2011,44.9656917702265,-93.288025149321
254,Hennepin,Whittier,Franklin Av E,Clinton Av S, ,,9/22/2011,44.9626937221962,-93.2714669104371
255,Hennepin,Folwell,Fremont Av N,36th Av N, ,,10/28/2013,45.0203632727678,-93.2955910628718
